Gene stable ID	Transcript stable ID	Gene type
ENSG00000251834	ENST00000516025	snRNA
ENSG00000265074	ENST00000580475	snRNA
ENSG00000274430	ENST00000614715	misc_RNA
ENSG00000201938	ENST00000365068	misc_RNA
ENSG00000239710	ENST00000464677	misc_RNA
ENSG00000201403	ENST00000364533	snoRNA
ENSG00000207334	ENST00000384604	snRNA
ENSG00000276479	ENST00000616567	miRNA
ENSG00000222862	ENST00000410930	snRNA
ENSG00000278587	ENST00000622331	misc_RNA
ENSG00000263974	ENST00000584223	misc_RNA
ENSG00000200325	ENST00000363455	misc_RNA
ENSG00000266206	ENST00000578598	miRNA
ENSG00000281024	ENST00000630633	protein_coding
ENSG00000283386	ENST00000636806	miRNA
ENSG00000207032	ENST00000384305	misc_RNA
ENSG00000266668	ENST00000577959	miRNA
ENSG00000275646	ENST00000617906	misc_RNA
ENSG00000238382	ENST00000459179	snRNA
ENSG00000278695	ENST00000616938	protein_coding
ENSG00000199392	ENST00000362522	snoRNA
ENSG00000223138	ENST00000411206	rRNA_pseudogene
ENSG00000274917	ENST00000611446	rRNA
ENSG00000207217	ENST00000384488	snoRNA
ENSG00000221461	ENST00000408534	snoRNA
ENSG00000252089	ENST00000516280	snRNA
ENSG00000199032	ENST00000362162	miRNA
ENSG00000276546	ENST00000619005	misc_RNA
ENSG00000206637	ENST00000383910	snoRNA
ENSG00000201114	ENST00000364244	misc_RNA
ENSG00000274520	ENST00000620900	misc_RNA
ENSG00000277139	ENST00000614682	snRNA
ENSG00000244384	ENST00000473502	misc_RNA
ENSG00000202193	ENST00000365323	rRNA_pseudogene
ENSG00000265954	ENST00000578197	miRNA
ENSG00000201329	ENST00000364459	snoRNA
ENSG00000221711	ENST00000408784	snoRNA
ENSG00000240327	ENST00000463035	misc_RNA
ENSG00000275775	ENST00000363400	misc_RNA
ENSG00000253035	ENST00000517226	snRNA
ENSG00000265102	ENST00000585264	miRNA
ENSG00000252322	ENST00000516513	misc_RNA
ENSG00000244732	ENST00000460111	misc_RNA
ENSG00000283165	ENST00000636080	miRNA
ENSG00000276881	ENST00000618470	snRNA
ENSG00000222506	ENST00000410574	misc_RNA
ENSG00000278232	ENST00000613260	protein_coding
ENSG00000201567	ENST00000364697	rRNA_pseudogene
ENSG00000278287	ENST00000610606	misc_RNA
ENSG00000274210	ENST00000622285	snRNA
ENSG00000207009	ENST00000384282	misc_RNA
ENSG00000265942	ENST00000584532	misc_RNA
ENSG00000200869	ENST00000363999	snRNA
ENSG00000274884	ENST00000621821	misc_RNA
ENSG00000199303	ENST00000362433	misc_RNA
ENSG00000222230	ENST00000410298	rRNA_pseudogene
ENSG00000201789	ENST00000364919	snRNA
ENSG00000239010	ENST00000459104	snRNA
ENSG00000253063	ENST00000517254	snRNA
ENSG00000252626	ENST00000516817	snRNA
ENSG00000274672	ENST00000622524	protein_coding
ENSG00000202345	ENST00000365475	misc_RNA
ENSG00000222468	ENST00000410536	rRNA_pseudogene
ENSG00000278773	ENST00000611686	misc_RNA
ENSG00000201737	ENST00000364867	snRNA
ENSG00000199912	ENST00000363042	misc_RNA
ENSG00000199450	ENST00000362580	rRNA_pseudogene
ENSG00000273990	ENST00000621107	snRNA
ENSG00000206593	ENST00000383866	snRNA
ENSG00000201140	ENST00000364270	misc_RNA
ENSG00000207255	ENST00000384525	snRNA
ENSG00000206731	ENST00000384004	snoRNA
ENSG00000275909	ENST00000447610	misc_RNA
ENSG00000222222	ENST00000410290	snRNA
ENSG00000212485	ENST00000391183	snRNA
ENSG00000206615	ENST00000383888	snRNA
ENSG00000239742	ENST00000474091	misc_RNA
ENSG00000199436	ENST00000362566	snoRNA
ENSG00000277209	ENST00000516869	ribozyme
ENSG00000252427	ENST00000516618	snoRNA
ENSG00000252450	ENST00000516641	misc_RNA
ENSG00000206733	ENST00000384006	snRNA
ENSG00000251940	ENST00000516131	snoRNA
ENSG00000266756	ENST00000577577	miRNA
ENSG00000280498	ENST00000628458	snoRNA
ENSG00000251767	ENST00000515958	snRNA
ENSG00000212545	ENST00000391243	snRNA
ENSG00000275108	ENST00000614961	snRNA
ENSG00000264833	ENST00000582256	misc_RNA
ENSG00000277569	ENST00000617606	miRNA
ENSG00000252242	ENST00000516433	snRNA
ENSG00000212560	ENST00000391258	snRNA
ENSG00000276057	ENST00000614234	misc_RNA
ENSG00000273836	ENST00000612539	miRNA
ENSG00000202031	ENST00000365161	snoRNA
ENSG00000252153	ENST00000516344	miRNA
ENSG00000274706	ENST00000622163	snRNA
ENSG00000200985	ENST00000364115	rRNA_pseudogene
ENSG00000201709	ENST00000364839	snRNA
ENSG00000207461	ENST00000384730	snRNA
ENSG00000200058	ENST00000363188	rRNA_pseudogene
ENSG00000207419	ENST00000384688	snoRNA
ENSG00000223189	ENST00000411257	snRNA
ENSG00000200034	ENST00000363164	snRNA
ENSG00000243991	ENST00000494711	misc_RNA
ENSG00000223290	ENST00000411358	rRNA_pseudogene
ENSG00000199293	ENST00000362423	snoRNA
ENSG00000278525	ENST00000461220	misc_RNA
ENSG00000240853	ENST00000484033	misc_RNA
ENSG00000206617	ENST00000383890	misc_RNA
ENSG00000242989	ENST00000482163	misc_RNA
ENSG00000212420	ENST00000391118	snRNA
ENSG00000199031	ENST00000362161	miRNA
ENSG00000272393	ENST00000605893	snRNA
ENSG00000278104	ENST00000610339	misc_RNA
ENSG00000273532	ENST00000612801	misc_RNA
ENSG00000264755	ENST00000583592	miRNA
ENSG00000221445	ENST00000408518	miRNA
ENSG00000266274	ENST00000577405	misc_RNA
ENSG00000200112	ENST00000363242	snoRNA
ENSG00000278190	ENST00000614042	snRNA
ENSG00000206804	ENST00000384077	snRNA
ENSG00000284191	ENST00000390183	miRNA
ENSG00000284564	ENST00000581130	miRNA
ENSG00000273613	ENST00000615860	miRNA
ENSG00000276197	ENST00000619317	misc_RNA
ENSG00000208025	ENST00000385290	miRNA
ENSG00000283454	ENST00000637405	rRNA_pseudogene
ENSG00000221455	ENST00000408528	snoRNA
ENSG00000283532	ENST00000637586	miRNA
ENSG00000212593	ENST00000391291	snoRNA
ENSG00000200153	ENST00000363283	snRNA
ENSG00000276048	ENST00000611000	misc_RNA
ENSG00000211582	ENST00000390227	miRNA
ENSG00000239595	ENST00000484117	misc_RNA
ENSG00000201821	ENST00000364951	snRNA
ENSG00000207227	ENST00000384498	snRNA
ENSG00000266494	ENST00000578353	miRNA
ENSG00000264582	ENST00000477493	misc_RNA
ENSG00000239964	ENST00000483066	misc_RNA
ENSG00000215991	ENST00000401172	miRNA
ENSG00000276047	ENST00000579731	misc_RNA
ENSG00000199109	ENST00000362239	miRNA
ENSG00000202479	ENST00000365609	snoRNA
ENSG00000277492	ENST00000362899	snoRNA
ENSG00000221537	ENST00000408610	miRNA
ENSG00000206835	ENST00000384108	snRNA
ENSG00000266581	ENST00000577344	miRNA
ENSG00000241807	ENST00000480656	misc_RNA
ENSG00000223224	ENST00000411292	snoRNA
ENSG00000284508	ENST00000347538	miRNA
ENSG00000265521	ENST00000578045	miRNA
ENSG00000201241	ENST00000364371	snRNA
ENSG00000199771	ENST00000362901	rRNA_pseudogene
ENSG00000251886	ENST00000516077	snRNA
ENSG00000221214	ENST00000408287	miRNA
ENSG00000207390	ENST00000384660	misc_RNA
ENSG00000206675	ENST00000383948	snRNA
ENSG00000207647	ENST00000384914	miRNA
ENSG00000199765	ENST00000362895	snRNA
ENSG00000212521	ENST00000391219	snRNA
ENSG00000281185	ENST00000627846	protein_coding
ENSG00000252857	ENST00000517048	snRNA
ENSG00000283603	ENST00000638058	miRNA
ENSG00000283672	ENST00000636979	miRNA
ENSG00000207735	ENST00000385002	miRNA
ENSG00000206776	ENST00000384049	snoRNA
ENSG00000202265	ENST00000365395	snRNA
ENSG00000252456	ENST00000516647	rRNA_pseudogene
ENSG00000200370	ENST00000363500	rRNA
ENSG00000202237	ENST00000365367	snRNA
ENSG00000200719	ENST00000363849	rRNA_pseudogene
ENSG00000285757	ENST00000650192	rRNA_pseudogene
ENSG00000206679	ENST00000383952	misc_RNA
ENSG00000222831	ENST00000410899	miRNA
ENSG00000206863	ENST00000384136	snRNA
ENSG00000277057	ENST00000617283	miRNA
ENSG00000283899	ENST00000390787	miRNA
ENSG00000199574	ENST00000362704	snoRNA
ENSG00000200728	ENST00000363858	snRNA
ENSG00000243532	ENST00000462522	misc_RNA
ENSG00000284424	ENST00000579485	miRNA
ENSG00000284202	ENST00000385223	miRNA
ENSG00000251732	ENST00000515923	misc_RNA
ENSG00000239078	ENST00000459426	snRNA
ENSG00000207504	ENST00000384773	snRNA
ENSG00000238819	ENST00000459482	snoRNA
ENSG00000278221	ENST00000611011	miRNA
ENSG00000252163	ENST00000516354	misc_RNA
ENSG00000200492	ENST00000363622	snoRNA
ENSG00000263675	ENST00000580821	miRNA
ENSG00000242101	ENST00000494042	misc_RNA
ENSG00000206600	ENST00000383873	snRNA
ENSG00000283736	ENST00000606601	miRNA
ENSG00000252367	ENST00000516558	misc_RNA
ENSG00000199961	ENST00000363091	snoRNA
ENSG00000277032	ENST00000611372	misc_RNA
ENSG00000207145	ENST00000384416	snoRNA
ENSG00000200966	ENST00000364096	misc_RNA
ENSG00000199251	ENST00000362381	snRNA
ENSG00000265059	ENST00000582199	snRNA
ENSG00000252480	ENST00000516671	snRNA
ENSG00000200959	ENST00000364089	snoRNA
ENSG00000199804	ENST00000362934	rRNA_pseudogene
ENSG00000276669	ENST00000618659	misc_RNA
ENSG00000199466	ENST00000362596	misc_RNA
ENSG00000264997	ENST00000584451	snoRNA
ENSG00000239468	ENST00000494652	misc_RNA
ENSG00000252998	ENST00000517189	snRNA
ENSG00000263432	ENST00000577215	misc_RNA
ENSG00000201436	ENST00000364566	snRNA
ENSG00000207434	ENST00000384703	snRNA
ENSG00000201856	ENST00000364986	rRNA_pseudogene
ENSG00000277168	ENST00000616313	misc_RNA
ENSG00000264391	ENST00000577964	misc_RNA
ENSG00000275816	ENST00000622700	miRNA
ENSG00000239494	ENST00000476398	misc_RNA
ENSG00000277035	ENST00000621563	misc_RNA
ENSG00000199809	ENST00000362939	rRNA_pseudogene
ENSG00000202019	ENST00000365149	misc_RNA
ENSG00000222778	ENST00000410846	rRNA_pseudogene
ENSG00000239390	ENST00000497657	misc_RNA
ENSG00000266716	ENST00000584417	misc_RNA
ENSG00000251819	ENST00000516010	snRNA
ENSG00000274883	ENST00000617458	misc_RNA
ENSG00000266754	ENST00000581152	misc_RNA
ENSG00000240347	ENST00000466169	misc_RNA
ENSG00000202048	ENST00000365178	snoRNA
ENSG00000252744	ENST00000516935	misc_RNA
ENSG00000239108	ENST00000459214	snRNA
ENSG00000251914	ENST00000516105	snRNA
ENSG00000252660	ENST00000516851	misc_RNA
ENSG00000222952	ENST00000411020	rRNA_pseudogene
ENSG00000216075	ENST00000401256	miRNA
ENSG00000199381	ENST00000362511	snRNA
ENSG00000252534	ENST00000516725	misc_RNA
ENSG00000200571	ENST00000363701	snRNA
ENSG00000283770	ENST00000618543	miRNA
ENSG00000212464	ENST00000391162	snoRNA
ENSG00000223269	ENST00000411337	misc_RNA
ENSG00000251896	ENST00000516087	snoRNA
ENSG00000273571	ENST00000619089	misc_RNA
ENSG00000281780	ENST00000625269	snoRNA
ENSG00000212232	ENST00000390930	snoRNA
ENSG00000252537	ENST00000516728	snoRNA
ENSG00000243374	ENST00000460697	misc_RNA
ENSG00000284047	ENST00000617724	miRNA
ENSG00000202379	ENST00000365509	snoRNA
ENSG00000252507	ENST00000516698	snRNA
ENSG00000252307	ENST00000516498	rRNA_pseudogene
ENSG00000212391	ENST00000391089	snoRNA
ENSG00000253007	ENST00000517198	snoRNA
ENSG00000207559	ENST00000384828	miRNA
ENSG00000277740	ENST00000614579	misc_RNA
ENSG00000199652	ENST00000362782	snRNA
ENSG00000274566	ENST00000613649	protein_coding
ENSG00000207492	ENST00000384761	snRNA
ENSG00000206980	ENST00000384253	snRNA
ENSG00000207589	ENST00000384857	miRNA
ENSG00000266690	ENST00000579577	miRNA
ENSG00000206592	ENST00000383865	snoRNA
ENSG00000201793	ENST00000364923	misc_RNA
ENSG00000277029	ENST00000612197	snRNA
ENSG00000222765	ENST00000410833	snRNA
ENSG00000276055	ENST00000615643	misc_RNA
ENSG00000200164	ENST00000363294	misc_RNA
ENSG00000284567	ENST00000385204	miRNA
ENSG00000200388	ENST00000363518	snRNA
ENSG00000206983	ENST00000384256	snRNA
ENSG00000284146	ENST00000401223	miRNA
ENSG00000238443	ENST00000459107	misc_RNA
ENSG00000238926	ENST00000410980	misc_RNA
ENSG00000251715	ENST00000515906	snoRNA
ENSG00000206616	ENST00000383889	snRNA
ENSG00000265328	ENST00000584917	miRNA
ENSG00000222249	ENST00000410317	snRNA
ENSG00000200785	ENST00000363915	snoRNA
ENSG00000265327	ENST00000585204	misc_RNA
ENSG00000202427	ENST00000365557	snRNA
ENSG00000271841	ENST00000607194	snRNA
ENSG00000281243	ENST00000630949	snoRNA
ENSG00000200108	ENST00000363238	snRNA
ENSG00000251839	ENST00000516030	snRNA
ENSG00000284459	ENST00000637495	miRNA
ENSG00000221255	ENST00000408328	snRNA
ENSG00000202389	ENST00000365519	snoRNA
ENSG00000206775	ENST00000384048	snoRNA
ENSG00000284054	ENST00000616126	miRNA
ENSG00000222663	ENST00000410731	snRNA
ENSG00000277085	ENST00000613108	misc_RNA
ENSG00000263363	ENST00000582265	miRNA
ENSG00000251939	ENST00000516130	snRNA
ENSG00000265669	ENST00000584644	miRNA
ENSG00000264857	ENST00000578474	miRNA
ENSG00000199636	ENST00000362766	misc_RNA
ENSG00000221040	ENST00000408113	snoRNA
ENSG00000275968	ENST00000613021	misc_RNA
ENSG00000207925	ENST00000385190	miRNA
ENSG00000276824	ENST00000620587	miRNA
ENSG00000264452	ENST00000583496	snoRNA
ENSG00000201892	ENST00000365022	misc_RNA
ENSG00000274306	ENST00000615402	miRNA
ENSG00000221710	ENST00000408783	miRNA
ENSG00000207818	ENST00000385083	miRNA
ENSG00000207633	ENST00000384901	miRNA
ENSG00000284140	ENST00000580330	miRNA
ENSG00000263730	ENST00000580135	miRNA
ENSG00000277678	ENST00000621562	snRNA
ENSG00000252136	ENST00000516327	snoRNA
ENSG00000264934	ENST00000582152	miRNA
ENSG00000201825	ENST00000364955	snRNA
ENSG00000284172	ENST00000640925	miRNA
ENSG00000207991	ENST00000385256	miRNA
ENSG00000264169	ENST00000578793	misc_RNA
ENSG00000207984	ENST00000385249	miRNA
ENSG00000284261	ENST00000578157	miRNA
ENSG00000283801	ENST00000408051	miRNA
ENSG00000264185	ENST00000581308	snRNA
ENSG00000252970	ENST00000517161	rRNA_pseudogene
ENSG00000275651	ENST00000617060	miRNA
ENSG00000215943	ENST00000401124	miRNA
ENSG00000201033	ENST00000364163	snRNA
ENSG00000221669	ENST00000408742	miRNA
ENSG00000277255	ENST00000620068	miRNA
ENSG00000207797	ENST00000385062	miRNA
ENSG00000202344	ENST00000365474	misc_RNA
ENSG00000266189	ENST00000577404	miRNA
ENSG00000274969	ENST00000619793	miRNA
ENSG00000280466	ENST00000629045	scaRNA
ENSG00000264675	ENST00000581001	miRNA
ENSG00000222490	ENST00000410558	snRNA
ENSG00000252623	ENST00000516814	rRNA_pseudogene
ENSG00000198983	ENST00000362113	miRNA
ENSG00000264226	ENST00000577639	miRNA
ENSG00000238531	ENST00000458770	snoRNA
ENSG00000221616	ENST00000408689	miRNA
ENSG00000283677	ENST00000637916	miRNA
ENSG00000223281	ENST00000411349	misc_RNA
ENSG00000277073	ENST00000611729	miRNA
ENSG00000200138	ENST00000363268	misc_RNA
ENSG00000201499	ENST00000364629	snRNA
ENSG00000252428	ENST00000516619	rRNA_pseudogene
ENSG00000200084	ENST00000363214	snoRNA
ENSG00000266240	ENST00000578707	miRNA
ENSG00000207963	ENST00000385228	miRNA
ENSG00000283346	ENST00000636908	miRNA
ENSG00000202317	ENST00000365447	snRNA
ENSG00000283379	ENST00000636963	miRNA
ENSG00000264984	ENST00000579525	miRNA
ENSG00000201183	ENST00000364313	snRNA
ENSG00000276162	ENST00000619803	miRNA
ENSG00000212446	ENST00000391144	snRNA
ENSG00000200279	ENST00000363409	snoRNA
ENSG00000207719	ENST00000384986	miRNA
ENSG00000264658	ENST00000578126	miRNA
ENSG00000200411	ENST00000363541	rRNA_pseudogene
ENSG00000199038	ENST00000362168	miRNA
ENSG00000276296	ENST00000616277	protein_coding
ENSG00000277269	ENST00000618871	misc_RNA
ENSG00000278081	ENST00000610953	protein_coding
ENSG00000222686	ENST00000410754	snRNA
ENSG00000207650	ENST00000384917	miRNA
ENSG00000207713	ENST00000384980	miRNA
ENSG00000252681	ENST00000516872	snRNA
ENSG00000239356	ENST00000491364	misc_RNA
ENSG00000274589	ENST00000616888	misc_RNA
ENSG00000198972	ENST00000362102	miRNA
ENSG00000284074	ENST00000577688	miRNA
ENSG00000207805	ENST00000385070	miRNA
ENSG00000265370	ENST00000580643	miRNA
ENSG00000206641	ENST00000383914	snRNA
ENSG00000202240	ENST00000365370	snRNA
ENSG00000221028	ENST00000408101	miRNA
ENSG00000201452	ENST00000364582	snRNA
ENSG00000284488	ENST00000620931	miRNA
ENSG00000238627	ENST00000410986	rRNA_pseudogene
ENSG00000283385	ENST00000637750	miRNA
ENSG00000244080	ENST00000498758	misc_RNA
ENSG00000252739	ENST00000516930	snRNA
ENSG00000210741	ENST00000388006	miRNA
ENSG00000252959	ENST00000517150	rRNA_pseudogene
ENSG00000221238	ENST00000408311	miRNA
ENSG00000206786	ENST00000384059	snRNA
ENSG00000239856	ENST00000464648	misc_RNA
ENSG00000273648	ENST00000620577	miRNA
ENSG00000200413	ENST00000363543	snoRNA
ENSG00000280263	ENST00000623630	processed_pseudogene
ENSG00000223306	ENST00000411374	snRNA
ENSG00000265172	ENST00000578394	miRNA
ENSG00000252619	ENST00000516810	snRNA
ENSG00000263918	ENST00000584160	miRNA
ENSG00000275222	ENST00000616915	misc_RNA
ENSG00000265673	ENST00000584178	miRNA
ENSG00000252357	ENST00000516548	misc_RNA
ENSG00000252549	ENST00000516740	snRNA
ENSG00000212040	ENST00000390751	miRNA
ENSG00000276134	ENST00000613143	misc_RNA
ENSG00000207803	ENST00000385068	miRNA
ENSG00000212379	ENST00000391077	snRNA
ENSG00000243544	ENST00000460535	misc_RNA
ENSG00000202343	ENST00000365473	snoRNA
ENSG00000202275	ENST00000365405	snoRNA
ENSG00000201059	ENST00000364189	rRNA_pseudogene
ENSG00000202200	ENST00000365330	misc_RNA
ENSG00000212051	ENST00000390762	miRNA
ENSG00000277900	ENST00000619127	misc_RNA
ENSG00000264200	ENST00000578405	miRNA
ENSG00000283126	ENST00000637311	miRNA
ENSG00000239953	ENST00000481561	misc_RNA
ENSG00000251878	ENST00000516069	snoRNA
ENSG00000251818	ENST00000516009	scaRNA
ENSG00000202071	ENST00000365201	misc_RNA
ENSG00000266852	ENST00000583050	miRNA
ENSG00000274697	ENST00000617899	miRNA
ENSG00000251735	ENST00000515926	snoRNA
ENSG00000252161	ENST00000516352	rRNA_pseudogene
ENSG00000207546	ENST00000384815	miRNA
ENSG00000222344	ENST00000410412	snRNA
ENSG00000212214	ENST00000390912	snoRNA
ENSG00000265754	ENST00000578065	snoRNA
ENSG00000202050	ENST00000365180	snRNA
ENSG00000263994	ENST00000581480	snoRNA
ENSG00000264377	ENST00000583284	miRNA
ENSG00000200987	ENST00000364117	snoRNA
ENSG00000274385	ENST00000618440	snRNA
ENSG00000207069	ENST00000384341	misc_RNA
ENSG00000200888	ENST00000364018	misc_RNA
ENSG00000240966	ENST00000482763	misc_RNA
ENSG00000284219	ENST00000362219	miRNA
ENSG00000251953	ENST00000516144	rRNA_pseudogene
ENSG00000207131	ENST00000384402	misc_RNA
ENSG00000201860	ENST00000364990	misc_RNA
ENSG00000199695	ENST00000362825	snRNA
ENSG00000266110	ENST00000580922	miRNA
ENSG00000222743	ENST00000410811	snRNA
ENSG00000200975	ENST00000364105	snRNA
ENSG00000273629	ENST00000616123	snRNA
ENSG00000252086	ENST00000516277	rRNA_pseudogene
ENSG00000253072	ENST00000517263	snoRNA
ENSG00000275072	ENST00000364995	snoRNA
ENSG00000252035	ENST00000516226	snRNA
ENSG00000199667	ENST00000362797	misc_RNA
ENSG00000212389	ENST00000391087	snRNA
ENSG00000241625	ENST00000466851	misc_RNA
ENSG00000200238	ENST00000363368	rRNA_pseudogene
ENSG00000275068	ENST00000618523	snRNA
ENSG00000222421	ENST00000410489	misc_RNA
ENSG00000252479	ENST00000516670	rRNA_pseudogene
ENSG00000212248	ENST00000390946	snRNA
ENSG00000275208	ENST00000612694	miRNA
ENSG00000277264	ENST00000620680	miRNA
ENSG00000274754	ENST00000621619	misc_RNA
ENSG00000274011	ENST00000611137	misc_RNA
ENSG00000212167	ENST00000390865	snRNA
ENSG00000265092	ENST00000582855	miRNA
ENSG00000200206	ENST00000363336	snoRNA
ENSG00000276656	ENST00000612737	miRNA
ENSG00000222320	ENST00000410388	snRNA
ENSG00000252707	ENST00000516898	snRNA
ENSG00000200003	ENST00000363133	snRNA
ENSG00000283894	ENST00000640185	miRNA
ENSG00000277154	ENST00000621588	protein_coding
ENSG00000264978	ENST00000483714	misc_RNA
ENSG00000238705	ENST00000459548	miRNA
ENSG00000243424	ENST00000478127	misc_RNA
ENSG00000212295	ENST00000390993	snoRNA
ENSG00000277141	ENST00000613165	misc_RNA
ENSG00000284372	ENST00000616525	miRNA
ENSG00000277985	ENST00000384423	snoRNA
ENSG00000199713	ENST00000362843	snoRNA
ENSG00000265301	ENST00000584780	miRNA
ENSG00000206743	ENST00000384016	snRNA
ENSG00000252909	ENST00000517100	snRNA
ENSG00000206631	ENST00000383904	snRNA
ENSG00000278198	ENST00000611619	protein_coding
ENSG00000275577	ENST00000612105	protein_coding
ENSG00000273657	ENST00000614460	miRNA
ENSG00000278109	ENST00000616636	misc_RNA
ENSG00000223156	ENST00000411224	snRNA
ENSG00000263989	ENST00000584065	misc_RNA
ENSG00000212407	ENST00000391105	snRNA
ENSG00000200774	ENST00000363904	snRNA
ENSG00000265281	ENST00000583472	miRNA
ENSG00000210049	ENST00000387314	Mt_tRNA
ENSG00000211459	ENST00000389680	Mt_rRNA
ENSG00000210077	ENST00000387342	Mt_tRNA
ENSG00000210082	ENST00000387347	Mt_rRNA
ENSG00000209082	ENST00000386347	Mt_tRNA
ENSG00000198888	ENST00000361390	protein_coding
ENSG00000210100	ENST00000387365	Mt_tRNA
ENSG00000210107	ENST00000387372	Mt_tRNA
ENSG00000210112	ENST00000387377	Mt_tRNA
ENSG00000198763	ENST00000361453	protein_coding
ENSG00000210117	ENST00000387382	Mt_tRNA
ENSG00000210127	ENST00000387392	Mt_tRNA
ENSG00000210135	ENST00000387400	Mt_tRNA
ENSG00000210140	ENST00000387405	Mt_tRNA
ENSG00000210144	ENST00000387409	Mt_tRNA
ENSG00000198804	ENST00000361624	protein_coding
ENSG00000210151	ENST00000387416	Mt_tRNA
ENSG00000210154	ENST00000387419	Mt_tRNA
ENSG00000198712	ENST00000361739	protein_coding
ENSG00000210156	ENST00000387421	Mt_tRNA
ENSG00000207405	ENST00000384674	snoRNA
ENSG00000266019	ENST00000582661	miRNA
ENSG00000199953	ENST00000363083	rRNA
ENSG00000228253	ENST00000361851	protein_coding
ENSG00000252517	ENST00000516708	snoRNA
ENSG00000207128	ENST00000384399	snRNA
ENSG00000198899	ENST00000361899	protein_coding
ENSG00000265462	ENST00000581433	miRNA
ENSG00000239748	ENST00000469617	misc_RNA
ENSG00000277568	ENST00000613756	misc_RNA
ENSG00000198938	ENST00000362079	protein_coding
ENSG00000252358	ENST00000516549	misc_RNA
ENSG00000210164	ENST00000387429	Mt_tRNA
ENSG00000198840	ENST00000361227	protein_coding
ENSG00000210174	ENST00000387439	Mt_tRNA
ENSG00000212907	ENST00000361335	protein_coding
ENSG00000263572	ENST00000584820	miRNA
ENSG00000207129	ENST00000384400	rRNA_pseudogene
ENSG00000276365	ENST00000384967	miRNA
ENSG00000198886	ENST00000361381	protein_coding
ENSG00000284289	ENST00000611508	miRNA
ENSG00000276496	ENST00000613383	misc_RNA
ENSG00000210176	ENST00000387441	Mt_tRNA
ENSG00000275474	ENST00000615688	protein_coding
ENSG00000222582	ENST00000410650	snRNA
ENSG00000210184	ENST00000387449	Mt_tRNA
ENSG00000210191	ENST00000387456	Mt_tRNA
ENSG00000264405	ENST00000577744	miRNA
ENSG00000221498	ENST00000408571	snoRNA
ENSG00000198786	ENST00000361567	protein_coding
ENSG00000278334	ENST00000615604	misc_RNA
ENSG00000201583	ENST00000364713	misc_RNA
ENSG00000198695	ENST00000361681	protein_coding
ENSG00000252070	ENST00000516261	rRNA_pseudogene
