Gene name	log2(TE)
KIAA1467	1.860646784
PODXL	1.858351649
EHD1	1.857574278
TAGLN2	1.855499393
ID3	1.852067584
BCL7A	1.851491793
LRRC59	1.848922111
LAMC1	1.847811094
C18orf25	1.843857693
NAPA	1.843704849
RPE	1.842347695
KLF5	1.841498446
SEL1L	1.833862459
AAK1	1.829137879
NOTCH2	1.82358665
EDC4	1.815586849
SERPINH1	1.81263759
PML	1.808407856
NUP210	1.807644358
CBX6	1.805684384
C22orf39	1.805028619
ECE1	1.800636889
SLC3A2	1.797871144
GNA11	1.796772937
FAM168B	1.796556347
MAGED1	1.795815906
9-Sep	1.795116418
ZIC2	1.794875873
GPKOW	1.790105661
TMOD3	1.788394582
SAFB	1.787729467
TOMM7	1.786625496
LAMA5	1.785365918
MINOS1	1.782268583
SLC35F6	1.781087396
NRSN2	1.779165845
C1orf122	1.778125835
ALYREF	1.773237403
MTPN	1.773140856
ACLY	1.770718617
MED29	1.768778395
LMNA	1.767273763
NDRG1	1.766797335
IGF2R	1.766249719
PRKAR2A	1.76218901
BRD4	1.759186132
MYH14	1.7516871
CMIP	1.750954581
MTR	1.75066147
DLGAP4	1.749095524
ALDH6A1	1.749025263
CAD	1.748978721
ETS2	1.747313795
DPYSL5	1.7465004
GATAD2A	1.744353713
COX6A1	1.737379762
SRSF8	1.736898739
TRAPPC9	1.734880774
PDLIM1	1.734006378
NOL9	1.733820182
SOX4	1.733378826
TOLLIP	1.731936623
SF1	1.72966667
CDT1	1.728730961
NFYC	1.723957525
LAMB1	1.722144533
AP1B1	1.722010825
LRP1	1.721399337
PPIF	1.719660197
ZMIZ1	1.717789537
DUSP9	1.717691173
NOC4L	1.71596199
ZC3H4	1.715945925
MAPK8IP2	1.714971488
KRTCAP2	1.711633802
EZR	1.711047601
CHMP1A	1.708541553
COL4A5	1.705741185
GAMT	1.704983859
AKR7A2	1.704205052
CNP	1.69984372
ATP6V1F	1.698556462
NTN1	1.69689157
NFYA	1.695165957
ELAVL1	1.693567021
LAMA4	1.693061697
AKAP2	1.690008525
ZNF217	1.687648165
TPP1	1.687612735
ZFP36L2	1.68752383
NAV1	1.68740977
C15orf61	1.684640909
BID	1.684498174
IBA57	1.684079834
COL18A1	1.680922519
POLR2A	1.680396593
INA	1.680389679
TWF2	1.680292099
GRN	1.679848065
LRRC47	1.678880364
MRPS17	1.677509938
KIF1A	1.677348931
EIF4G1	1.677129254
PAFAH1B2	1.677091848
RTN3	1.674344544
PEBP1	1.674063496
CEBPB	1.673986105
ARID5B	1.673483868
MVB12A	1.672878854
GSK3B	1.672619823
FAM136A	1.668028609
STIP1	1.667051081
CHCHD2	1.666676671
ARF6	1.665788817
GSN	1.659136057
11-Sep	1.658404345
RBFOX2	1.657430692
BSG	1.656407377
AMOTL1	1.652659198
NDUFAF3	1.652392255
DDI2	1.650148125
PALM2-AKAP2	1.649732756
BNIP3L	1.649670432
MRPS16	1.647338778
FBN1	1.645387442
HSPBP1	1.643143572
FAM127A	1.642100323
NHLRC2	1.641751201
SEC16A	1.640753661
TAF8	1.638087709
SYNRG	1.637569927
IRF2BP2	1.634694504
AARS	1.634626024
PDE12	1.631441275
ID4	1.631049899
ANXA11	1.630857267
NDUFS5	1.629700562
EIF5A	1.628964911
C5orf51	1.627525185
CD151	1.627165395
MBNL1	1.62702218
SNTB2	1.626499351
HYOU1	1.626131473
CLSTN1	1.625547316
LEF1	1.623908781
PLEKHB2	1.619667394
CAPN1	1.616658538
GOT2	1.614693711
JUN	1.614060716
NDRG3	1.612945924
TK1	1.609836363
AKAP13	1.607885645
PRDX6	1.606374904
TMEM258	1.604009575
ARPC3	1.603858051
ARL2	1.601515146
MDH2	1.598493522
NONO	1.598078368
HNRNPA0	1.597690931
HNRNPAB	1.597589336
NOC2L	1.596831993
CLPB	1.596479443
COTL1	1.593646114
SYNGR2	1.592241286
POLR2E	1.590376373
CENPM	1.590011115
GTF2A1	1.589387949
BTF3	1.588623093
LRRC41	1.588507976
MGRN1	1.58721636
HNRNPU	1.587024221
GLRX5	1.58666036
GNA13	1.586572352
RBBP4	1.58217394
SMOC1	1.581164267
CCND3	1.580209573
PDXK	1.579343793
SLC7A1	1.579168938
RPL28	1.578112105
PSMB2	1.576571036
NCDN	1.576227261
SLC25A22	1.57505173
RREB1	1.573624957
ACD	1.573390019
KANSL3	1.571850138
TRIM28	1.571083101
LRSAM1	1.570901756
MYBBP1A	1.570745225
TMED7	1.568452606
FBXL18	1.568099063
UBXN7	1.566930425
PTK7	1.565494019
TRAPPC12	1.565099967
SLC31A1	1.564564024
RRM2	1.564530703
INSR	1.56395838
MED15	1.563655308
CASKIN2	1.561681677
TXLNA	1.56108013
TP53BP1	1.560807625
ATP5J2	1.56004663
GANAB	1.557932731
CBFB	1.557758938
CRIPT	1.555950132
CHCHD6	1.555574089
ZC3HAV1	1.552556629
SNX12	1.549272226
BCAR1	1.548970822
LRRC58	1.548868856
DPF2	1.548174793
DNAJC5	1.546408613
AP2B1	1.546334048
TOR1AIP2	1.544448284
AEBP2	1.542656378
HS1BP3	1.542315204
LRPAP1	1.541437213
H1FX	1.539145426
CTNNB1	1.535594512
VPS53	1.535502078
SF3B5	1.533926438
TCEB2	1.533003314
CELF2	1.532611185
PBX1	1.531662549
CKB	1.529678265
UBE2M	1.529176021
POLR2L	1.526377611
SPC24	1.526209913
CAMK2D	1.524009928
USP5	1.5230278
ID2	1.522575036
TOM1	1.522486651
HN1L	1.519261819
CDH2	1.5191389
CPD	1.518825002
ARID3A	1.516802421
DUSP3	1.516416349
TOMM6	1.515760773
PTGFRN	1.515671254
MSI2	1.515166309
MARCKSL1	1.513995268
PFDN2	1.512623165
DHCR7	1.510827995
PCBP1	1.509678413
CCDC86	1.507616804
DPP3	1.507260144
PEPD	1.507097696
DBN1	1.505447829
HMOX1	1.504522946
GNB1	1.502646543
CARM1	1.50222249
TFAP4	1.499438918
ZNF275	1.499353785
UBE2S	1.499275071
SCD	1.499235327
MXD4	1.499163994
SIGIRR	1.498911966
DNMT3A	1.49822025
QRICH1	1.497543943
ENAH	1.494794539
C10orf12	1.493332025
SCAMP2	1.492737372
AEN	1.492649701
ACBD3	1.491442014
LAMTOR4	1.490914677
PERP	1.490240661
ZNF503	1.48947848
PAK2	1.488899779
DHX8	1.488048797
HGS	1.487486349
PDK2	1.486066745
CD81	1.485610388
TRIM25	1.484755338
ZMAT5	1.484531663
ETFB	1.483680828
SRRM1	1.483655605
LTBP1	1.483477093
TRMT61A	1.482712442
SYP	1.481436833
SORL1	1.478653599
CDK2AP1	1.476856831
ASF1B	1.474705322
STMN3	1.474054868
RRBP1	1.472997219
POLR3K	1.472655728
PGAM5	1.471647016
SPATC1L	1.471241883
DDIT4	1.471119481
COX6B1	1.470185344
C15orf40	1.466085105
DDB1	1.46581733
PIP4K2C	1.465340276
NME1-NME2	1.465265421
MAF	1.46436337
NAF1	1.462204957
NUDC	1.461694527
IDH3G	1.460424541
UBFD1	1.458237063
MSN	1.45616073
RBM3	1.455828485
BAHD1	1.453950908
KPNA6	1.453103073
AP2A1	1.452858965
KCTD10	1.452135848
ATP5D	1.451671981
OGDH	1.45082876
B4GALT1	1.449139152
NDUFS8	1.448257648
LAMB2	1.447132354
GTPBP1	1.446299094
GMEB2	1.445971562
ZIC3	1.445756682
SLC19A1	1.444528796
GINS1	1.442534414
COPG1	1.441469293
ATF7IP	1.440688512
DPYSL4	1.439579684
FXN	1.439492595
INF2	1.437349961
STAT3	1.434153557
WNK1	1.432121516
CBX5	1.432077202
HOOK3	1.431942155
ARHGEF1	1.429775886
MAEA	1.429770076
FKBP4	1.427824746
TCOF1	1.427490186
KCTD17	1.427226401
RERE	1.4266722
FAM199X	1.426147439
SLC39A4	1.425404215
SLC9A3R1	1.425120096
C20orf27	1.424438523
ISOC2	1.424096131
MAP1S	1.422704263
SYVN1	1.422701915
NHEJ1	1.42254622
TLN2	1.421772333
LAPTM4B	1.421463768
GPD1L	1.420603294
LSR	1.420374531
ATP6V0D1	1.418615025
GNB2	1.418427381
UBL4A	1.418169834
MYO1C	1.417153405
NUMBL	1.417051031
CBX1	1.416894198
HAUS7	1.416278183
NDUFA7	1.41616786
BLVRB	1.414459549
GPC4	1.413372356
VGLL4	1.409829208
DNMT3B	1.409754831
AMOT	1.409715082
SS18L2	1.409659639
GRB2	1.409256177
SAFB2	1.409192677
GNS	1.408648675
SMDT1	1.407776065
SMARCD1	1.407597952
C15orf38	1.40342684
ETNK1	1.403024072
WFS1	1.40283395
DUSP1	1.402287712
C12orf65	1.402082136
ARPP19	1.401208623
WNK3	1.400402153
MSI1	1.399434828
DAPK3	1.398465588
MKL2	1.398362692
REST	1.39810163
GATA2	1.396243126
PHPT1	1.395381768
PAWR	1.395023794
BAD	1.393653199
SNX27	1.391739998
SRI	1.391237965
NUTF2	1.390183894
ANKS1A	1.389914933
MAPRE1	1.38964612
KDELR1	1.388600098
ARL8A	1.386590076
UNC5B	1.386495263
GLTSCR1	1.384917511
EEFSEC	1.384624896
ATP6AP1	1.384596104
HDGFRP2	1.384215497
MRPL41	1.38408744
SEC24A	1.383777626
EPHA4	1.381970338
GM2A	1.380688776
DOHH	1.380570251
PRR14L	1.379916817
PRR12	1.37941359
MAPRE2	1.378491117
HMG20A	1.378308958
PDIA3	1.377130962
ELF4	1.37601561
CSTF2	1.37186025
EEF1A2	1.371581983
CARHSP1	1.371296276
NFKBIA	1.370466093
BOD1L1	1.370176574
GABARAPL2	1.369479552
PTPRS	1.368890492
SP4	1.367760319
ATP5G2	1.365086414
DUSP7	1.363348022
GLCCI1	1.362332931
DSP	1.361578605
RNPEP	1.361205829
DCAF7	1.361016857
CYCS	1.36037291
MFGE8	1.360227141
COMMD9	1.358510769
HSPA5	1.358156021
PRDX2	1.357229395
FUBP3	1.357229361
IMPDH1	1.356630567
COX5B	1.356328373
CFL1	1.356111945
SNAPIN	1.355755033
MRPL27	1.354654531
HNRNPK	1.354253265
PCBP2	1.354090794
FADS2	1.353441838
AKIRIN2	1.352984189
PDAP1	1.351344871
TNKS	1.351309118
SF3B2	1.350641746
NUP62	1.350167617
PDPN	1.349162284
URGCP-MRPS24	1.349099102
PI4K2A	1.348431348
GBA	1.348337098
GAPDH	1.34764939
H2AFZ	1.346489243
HDDC3	1.345484571
PDDC1	1.343584599
EPB41	1.343010229
U2AF2	1.342775473
FUS	1.342428959
PFN1	1.340592109
DNASE2	1.340433854
MYCBP	1.340307813
SCO2	1.340264642
TSEN34	1.339748782
UBE2C	1.338834871
GLUL	1.338531021
VPS28	1.33745715
MIER2	1.337125926
MPZL1	1.336486706
PUF60	1.336273581
UCK2	1.336240525
C15orf39	1.335725092
MRPL23	1.335052375
MAGED2	1.3347664
MAU2	1.334745433
EIF2S2	1.334489204
MTAP	1.334365531
VCP	1.33050896
RPRD1B	1.330383475
EHD4	1.329952641
USP22	1.328642297
PSAP	1.327939333
MRPL28	1.327245071
MRPS26	1.326959959
ARF5	1.326778438
TMED7-TICAM2	1.326352789
FOXP1	1.324617638
IGFBP2	1.324216694
DYNLRB1	1.324172983
HEATR2	1.323845298
ACSS1	1.320613965
EIF4EBP2	1.319485707
SALL2	1.319252053
SGTA	1.318975662
ANKRD52	1.318954006
PLIN3	1.318580545
LARP4B	1.317139991
ARF3	1.317137373
ZNF280C	1.316141103
ARID1A	1.31548443
FLNB	1.315348925
VHL	1.315161647
LSM14B	1.315061375
PNMAL1	1.315001634
GSE1	1.314907667
SS18	1.313360965
GLG1	1.313216084
RRP12	1.313049944
CNBP	1.312625188
MRFAP1	1.310734184
ANXA2	1.310687381
EMC1	1.30897069
PPP3CA	1.307404983
PER1	1.306970192
CCDC167	1.30671865
C7orf50	1.306688488
CCDC50	1.306661338
RNASEK	1.30657988
UQCR10	1.306560319
UBE2O	1.306149021
SH3GL1	1.305935117
COA3	1.305655207
CORO7-PAM16	1.305496664
RPL10A	1.305269626
METTL1	1.304713383
HUWE1	1.303363183
RELA	1.302993324
C19orf60	1.302969424
6-Sep	1.301641517
TRAPPC5	1.301293696
HEY1	1.300932752
ANXA6	1.300135043
NUMA1	1.300031797
AP2S1	1.299927627
YOD1	1.299254594
DSC2	1.298844482
ATP5J	1.297268455
PALLD	1.297053426
CD276	1.296069457
ELMSAN1	1.295455884
NDFIP2	1.294653884
YWHAQ	1.294327014
STAM	1.293027964
SRSF2	1.292471471
TBL3	1.291848655
LNPEP	1.289929633
NDUFB7	1.288781358
CHRAC1	1.288593788
DNAJB12	1.288528542
MAK16	1.288265122
NUDT1	1.28685937
PSMC4	1.284320769
C15orf57	1.283751942
MRPL55	1.28359049
ATPIF1	1.280143983
ACIN1	1.279400739
SDC3	1.278831198
CITED2	1.278453311
PARP1	1.278375816
DLAT	1.277810467
CIB1	1.277746121
SNX30	1.276920742
ROMO1	1.276836444
MCM5	1.276431761
SIPA1L3	1.276124405
ACTR1A	1.276082749
LSMD1	1.274161241
SWI5	1.274088555
SMARCB1	1.273491515
ITGA5	1.273339414
SNRNP200	1.272268788
WDR36	1.271912557
CHAMP1	1.270832236
PSMD8	1.270817383
GRINA	1.270720264
PYURF	1.269772974
FNDC3B	1.269145485
VAT1	1.269126363
TBX3	1.266821302
DDX19A	1.265814702
CCDC6	1.26456317
SLC2A1	1.264452288
TOX4	1.263664917
PIAS4	1.263274675
INTS9	1.262771883
CAMSAP3	1.262296643
WDFY1	1.262193429
CD109	1.261847491
YY1	1.260356745
POU3F2	1.260311238
TRPS1	1.259335617
PMAIP1	1.258199931
LMNB2	1.257416836
KLF10	1.257394741
RPS19BP1	1.25672126
SPTB	1.256062445
E2F2	1.255296164
CTCF	1.255277893
EXOSC4	1.254411813
ARMC6	1.254332744
ANAPC11	1.2536521
ZFYVE21	1.251981848
ERCC2	1.251734506
PSMB3	1.250261793
RPAP1	1.248923643
SDF2L1	1.247720999
ERH	1.247440816
KIAA1211	1.245816767
EP300	1.245511834
CTSA	1.245394247
ZWINT	1.245153261
ZIC5	1.243954465
NEK6	1.243896021
PPP4C	1.243384122
AAMP	1.242937893
DRG2	1.242594874
DCTN2	1.239149992
RBM23	1.239055785
SRP14	1.23879671
QKI	1.238496246
MED25	1.237807054
C16orf72	1.235994183
SCAF4	1.235870313
CS	1.235453345
TIMM10	1.234887314
SLC7A5	1.233954625
XAB2	1.233797185
ETV3	1.233209305
WDR18	1.233134026
PDIA4	1.232526835
MRPS18A	1.232203976
DAZAP2	1.231763548
EFHD2	1.231692411
PSMD4	1.23136997
MCM4	1.230518277
COMMD4	1.229920966
PPP1CB	1.229313218
PSMB1	1.229162598
SHPK	1.229096047
PMVK	1.228671844
OIP5	1.228033465
SPTBN2	1.22758557
AGK	1.226758585
ARHGEF39	1.226374684
GPRIN1	1.226164964
RABGAP1L	1.22589326
SMARCA2	1.225600032
USP11	1.22522193
RPL36AL	1.224677648
ITPA	1.224636447
TMEM97	1.223623259
NME6	1.223055821
CLPTM1	1.222995366
EIF1	1.221286426
RANGAP1	1.220966227
TFPT	1.220691631
TRAPPC4	1.2204803
NXN	1.219865256
SDHC	1.219043157
PPARGC1B	1.218480026
TIMM13	1.218065444
ZNF362	1.217638891
CASP9	1.216811389
MIEN1	1.216433172
BET1L	1.216266809
IWS1	1.216230271
AHCY	1.2156843
CADM1	1.215584859
SDE2	1.215467693
NLE1	1.214530304
MRPS2	1.214263612
SNX18	1.214161492
MAZ	1.213579599
C17orf53	1.212504425
LMNB1	1.212419231
GPC3	1.212338102
TCF7L2	1.212161479
NDUFV3	1.211806272
PPIL2	1.210613068
DBNL	1.210136129
ALDH5A1	1.209781839
TOM1L2	1.208790839
PRPF8	1.208413566
EXOSC5	1.208413308
SURF6	1.208135899
GFER	1.207666767
SURF4	1.206751791
SMYD3	1.20663835
COL6A2	1.206320015
UNC45A	1.205596959
NUDT15	1.203788085
JUND	1.202752663
LLGL1	1.20268855
GADD45GIP1	1.202364055
GOLGA3	1.202251952
SEC24C	1.200937334
TGOLN2	1.200690644
BCKDHA	1.200528255
PARVA	1.199901534
TUBB2B	1.198681077
CYP51A1	1.198142478
ENO1	1.196838066
MYEOV2	1.195447169
VPS25	1.195028017
MRFAP1L1	1.194807288
CCDC97	1.194493723
HMCES	1.194419892
H2AFV	1.194349099
CSNK2A2	1.194026597
NACC1	1.193322877
RPUSD3	1.193137197
ZNF143	1.192709026
GSPT1	1.192100348
PHF6	1.191480479
PSMB6	1.190171532
R3HDM4	1.189777704
CCS	1.189259793
AIMP2	1.188664603
NHSL1	1.188239899
LSM7	1.187678915
TMEM209	1.187284384
MED28	1.186324178
DESI1	1.186283005
TAB1	1.185443642
TPD52L2	1.185135422
FHL2	1.184860922
RNH1	1.184281368
HES1	1.183362759
EYA3	1.183259967
SIX1	1.182714442
RXRA	1.182174461
TBCD	1.182160537
MCL1	1.181960655
FTO	1.181396981
ADO	1.181207319
FRAS1	1.180572246
CNDP2	1.180537003
RPA1	1.180519324
HS6ST2	1.180165216
SLC5A3	1.179646332
SRSF9	1.179586018
ZFHX4	1.178550248
STUB1	1.177297233
SFXN2	1.177120503
GAA	1.17547297
MLLT1	1.174859059
CTSV	1.174793405
RPL35A	1.174066946
PFKFB3	1.173521656
TMEM160	1.172718006
STIM1	1.172255958
TBL1XR1	1.171783426
MACROD1	1.171601301
GIT1	1.17124193
SNRPB	1.170864261
UCHL1	1.170781098
UBE2G1	1.170718188
NEO1	1.170646241
MED12	1.170079276
HNRNPM	1.16899643
SART1	1.168082512
TUBB4B	1.168052943
PFDN1	1.16795737
MZT2B	1.166614581
TES	1.166519405
NUP155	1.165489205
STK35	1.165208632
C11orf83	1.164050418
PODXL2	1.163886085
UBXN1	1.163190698
PNRC1	1.162893725
IGF2BP2	1.162111547
BRD3	1.161864455
PPDPF	1.161413648
MPV17	1.159146815
CALM3	1.158112922
FADD	1.157775919
TNRC6B	1.157613062
RAB7A	1.156659508
PGRMC1	1.156613996
NOP16	1.156585841
MCC	1.15627594
RRP7A	1.15589281
COMMD1	1.155769717
CCDC28B	1.15569202
HSPB1	1.154061069
ATXN2	1.153951365
PDLIM7	1.153375247
SEC24D	1.153072801
KIF20A	1.15222401
E2F3	1.151959428
COX7C	1.151843534
CRY2	1.151452341
CANX	1.151192571
PSME1	1.15055131
PSMF1	1.15051751
ACTR2	1.15024885
EGLN1	1.15016777
CASP3	1.150076705
POLDIP3	1.149525923
ARF1	1.148512452
AFF1	1.148407722
PVRL2	1.14742011
MOB1A	1.146854704
GID8	1.146484271
STXBP1	1.146295485
HSPA9	1.14606525
AIP	1.145377483
MRPL54	1.143772321
PTPRJ	1.14321233
PSMC6	1.142935805
CBR1	1.142811511
YWHAB	1.140579373
KPNB1	1.139913839
LGMN	1.13990965
MED16	1.139815108
RNF187	1.139729953
PGK1	1.139559746
CSRP2	1.138539507
NUP35	1.138501814
IPO4	1.138256221
SIN3A	1.137815113
FAU	1.137277146
MAPK1	1.13704164
CLUH	1.136716964
TXNL4A	1.136688127
PPP1R14B	1.136529405
EIF3B	1.136516385
NPTX1	1.136321471
EMC8	1.135888354
POGZ	1.135831803
SFPQ	1.135177442
TXNRD2	1.135004508
ZXDC	1.134958397
KDM4B	1.13481865
MRTO4	1.134422304
PMF1	1.133526111
CCNF	1.133374422
SORT1	1.133085458
PLS1	1.13259361
TMEM214	1.13167544
GPRASP2	1.130783993
ARMCX5-GPRASP2	1.130783993
GLYR1	1.130385884
KNSTRN	1.12933925
GMFB	1.129331521
ZNF687	1.129283017
PHGDH	1.12927022
ZNF384	1.128647422
SLK	1.128280183
COX8A	1.127801227
OTUD5	1.12685339
MRPL19	1.124158194
TOB2	1.124103783
IDH3B	1.123952951
CHD4	1.122875312
TRAPPC1	1.122571986
FAM117A	1.122484007
RANBP3	1.122464031
ZSWIM6	1.122167213
QPRT	1.122046492
KCTD5	1.121893687
INCENP	1.12159983
SNRPA	1.121393852
XIAP	1.120375225
NUP98	1.120176079
DNPH1	1.120024636
ATP5G3	1.119961376
ACP2	1.119880633
ATL3	1.118912853
EIF1B	1.117908798
SMU1	1.117400837
TRAF2	1.116433595
PRDX5	1.116412241
MPP2	1.116201426
C16orf13	1.11574385
NDRG2	1.114488424
SLC12A2	1.114350112
CORO1B	1.113916462
HOXC9	1.113826331
NPEPPS	1.112790061
ZNF593	1.112703304
SLC7A11	1.112419579
GAR1	1.111793081
SNRPD2	1.111291354
VCPIP1	1.11042399
H3F3B	1.110110254
TACC2	1.109347396
FAM192A	1.109322773
BTG1	1.109049213
RCOR1	1.109003764
FADS1	1.108946129
GINS3	1.10892939
CIAPIN1	1.1087555
STOM	1.107956635
UBE4A	1.107922399
CDCA3	1.106199404
DCTN3	1.105993075
ADRM1	1.105756258
TSPO	1.104401146
CCDC12	1.104331148
AKR1B1	1.104204797
PURA	1.102897621
HIP1	1.102521949
CISD3	1.102349783
MFAP1	1.10220486
PRPS2	1.101524227
HSP90AB1	1.10142046
TOMM34	1.100534265
SPAG16	1.100446854
ERF	1.100438487
ZNF581	1.099456997
YRDC	1.099436567
KHDRBS1	1.09929683
AHCYL1	1.098796753
DMAP1	1.09879564
NSUN5	1.098684275
NDUFA3	1.098065598
ALKBH4	1.0975139
S100PBP	1.096398719
DDX17	1.096360884
RAPH1	1.096111893
TEAD4	1.095693888
ZBTB40	1.095270497
RBM27	1.094826839
CRKL	1.094249265
NKIRAS2	1.093921348
SUPT5H	1.093813673
SLC4A1AP	1.092517827
KAT7	1.092317243
PACS1	1.091985873
SPCS3	1.091937661
KDM3B	1.091635311
BCOR	1.091444719
SCML2	1.090526973
TMBIM6	1.090496598
PLOD1	1.090409845
DCP1A	1.089340536
NOTCH3	1.088408974
ABHD2	1.088355874
PPP1R12A	1.088280759
LAMTOR1	1.087892937
BCL9	1.087843349
ZNF689	1.087808245
EXOSC7	1.087760929
HNRNPR	1.086957477
HNRNPH1	1.086589205
TERF2IP	1.08649722
HN1	1.084978838
THRAP3	1.084938038
SH3BP5	1.084439242
AFMID	1.084257993
HINT2	1.084238156
NHP2L1	1.084200435
PTPRF	1.084102264
CXADR	1.084064265
TGFBR3	1.083907138
DCTPP1	1.082825858
BAZ2A	1.082703101
SERBP1	1.081433937
DCP2	1.080383112
ILF3	1.080043613
DFFA	1.079925786
RNPS1	1.079738641
CDC20	1.079492695
VAPA	1.079408249
DNM2	1.078100738
DNAJC3	1.077620897
TJP1	1.077533724
MAP3K6	1.077478753
GPSM1	1.076384234
PSMD12	1.0762501
GRPEL2	1.076096477
RBM28	1.075874867
SRA1	1.075262944
PGLS	1.074000581
AP1M1	1.073462162
RAB11FIP5	1.072568626
DUSP14	1.071879538
C11orf68	1.071768182
NCBP2	1.071556303
RPS25	1.071338918
RPP25	1.070569226
ATP1A3	1.070091896
GINS4	1.069895646
MRPS11	1.069311552
EP400	1.067222049
NUP43	1.066873848
NANS	1.066489059
TTC9C	1.066319185
SMTN	1.065802058
DGCR14	1.065755574
CD320	1.065157201
POLR2D	1.064060015
TPD52	1.063955359
PPP2CA	1.063910712
ELL	1.063687915
PARS2	1.063616099
SLC1A5	1.063533465
PLCB3	1.062880539
PRPF31	1.062878036
ALDH2	1.06287632
BRE	1.062728461
ARHGEF18	1.0622283
ZNHIT1	1.062129158
AIFM1	1.062000178
SDCBP	1.061833931
TMEM33	1.060574559
RNF169	1.060443215
EIF1AD	1.060185765
PRRC1	1.059909711
ALAS1	1.059569266
APP	1.059535443
LCLAT1	1.059269179
NTMT1	1.058982386
PPP1CA	1.058578892
CNN3	1.057885634
HMGCL	1.057051927
MED11	1.05631347
MIER3	1.055503519
FUBP1	1.055095214
CCDC43	1.054960441
NRF1	1.054750204
LONP2	1.054541895
RBPJ	1.054413554
SLC39A14	1.053665174
MAP3K1	1.053198388
WIZ	1.053098037
LAMP2	1.053092078
RPL27A	1.052601163
VPS18	1.051747775
MRPL43	1.051308076
ARFIP1	1.050886263
MED10	1.050615108
UBR4	1.05042786
RPL37A	1.049924921
UQCRC1	1.04987431
RCE1	1.049731045
CDX2	1.048893813
WDR82	1.048119864
TRUB2	1.047924702
EIF2AK2	1.047449345
RQCD1	1.047316416
NOSIP	1.047314034
ZNF629	1.046895625
SREBF1	1.046600413
NSFL1C	1.0465286
RANBP10	1.046492585
ATPAF2	1.045774029
ATAD3A	1.044767729
TRAPPC2L	1.044656383
UNG	1.04417708
ZFX	1.043617015
