Gene name	log2(TE)HELA
SSBP4	-2.841818332
DZIP1	-2.838381818
KMT2A	-2.834907227
PLA2G12A	-2.834397795
PIKFYVE	-2.831180936
ST6GALNAC4	-2.819672812
NIN	-2.809435233
WDR13	-2.79978404
ADAM22	-2.793313984
PCNXL4	-2.790894669
FBRSL1	-2.787546441
TLCD1	-2.780400794
TMTC1	-2.778181786
MFHAS1	-2.777458778
TUBGCP6	-2.767105454
ARHGEF3	-2.74692998
SYNPO	-2.742964335
KANK2	-2.741429005
TMEM8A	-2.741265732
TP53I13	-2.739634781
GAREM	-2.738147647
TRIO	-2.728974173
CHD6	-2.725477915
TRAF4	-2.724365557
FN1	-2.707064108
HCFC2	-2.702903758
SCAPER	-2.695606564
TSHZ1	-2.686871028
FAM193A	-2.685707474
TCIRG1	-2.672827487
AMBRA1	-2.657558762
AKAP9	-2.652182122
SNX13	-2.651349898
ZNF445	-2.645915712
HOOK2	-2.641793723
HIVEP2	-2.641546029
EVPL	-2.639410285
WIZ	-2.6347592
NLK	-2.626782676
BBS10	-2.615505375
SHB	-2.612388245
LAMA5	-2.601536725
CCDC57	-2.600559356
PLXNB1	-2.59946207
ZNF469	-2.598637438
TUBA1B	-2.59751592
LIMCH1	-2.59672595
LATS2	-2.590500684
AHNAK2	-2.581387047
TUB	-2.57870351
SAV1	-2.569145795
FNIP2	-2.561878888
DBF4B	-2.55721751
CLCN6	-2.550197083
TBC1D1	-2.546432808
HPS4	-2.53447273
AGGF1	-2.530306099
RAPGEF1	-2.529461969
TMCO3	-2.525081169
KIF1C	-2.520080418
PABPC1L	-2.517275693
RNF145	-2.512884823
P4HTM	-2.512761121
FAM189B	-2.510257529
IRS1	-2.506197737
DYNC1H1	-2.502971257
PCNT	-2.502500341
PRDM4	-2.501804563
HSPG2	-2.500761912
KCNH5	-2.496702496
COL12A1	-2.485736845
RALGDS	-2.48334585
ZNF266	-2.480687179
SLC12A6	-2.480190179
CLK2	-2.478047297
FBXO41	-2.463748914
PPP1R16A	-2.463510231
EFCAB14	-2.459231369
DEPDC1	-2.458149413
IRAK1	-2.457728577
ALPK1	-2.457128833
BAI2	-2.434126872
ARHGEF10L	-2.421904219
UBE2D3	-2.420331799
TRPM7	-2.420297483
VPS26B	-2.419814031
MEGF6	-2.409170492
RNF10	-2.407480868
RNF182	-2.396092921
ATP8B2	-2.395442935
SYNGAP1	-2.392317423
INO80	-2.387849488
NISCH	-2.386160422
SIX5	-2.380821784
FBXW5	-2.372278252
FAM135A	-2.366782331
ZDHHC6	-2.366111227
GLTSCR1	-2.35414272
MFSD12	-2.352361475
PIF1	-2.350700745
ZDHHC18	-2.347592978
PRSS12	-2.341607105
ZBED5	-2.339850003
CCM2	-2.333777813
PYURF	-2.327071398
ZSCAN29	-2.323776519
OPN3	-2.319599289
HTRA2	-2.313119637
PTPN2	-2.309966483
POLRMT	-2.308444866
COBL	-2.304382665
USP54	-2.304334035
PFKFB3	-2.294961047
ZDHHC2	-2.282035368
RAI1	-2.27803023
WHAMM	-2.275278002
ARHGEF17	-2.270986529
AGAP1	-2.265409772
PHF2	-2.26224841
WWP1	-2.260567124
RILPL1	-2.247553419
HR	-2.242360838
CLK4	-2.241699069
SPATA20	-2.236476194
PHLPP1	-2.234465254
TSPAN17	-2.227499312
FAM13B	-2.222144685
PLXND1	-2.219904851
EML3	-2.21978882
CCNT2	-2.217731044
BMP6	-2.215459707
PRDM2	-2.215267987
NXPE3	-2.212952725
ARHGEF4	-2.212830199
FOXK2	-2.204842426
INTS12	-2.201354432
MKI67	-2.201186814
ADARB1	-2.190281257
METRNL	-2.189489555
BTBD2	-2.188793895
RBBP6	-2.186923078
MED21	-2.185726515
THY1	-2.185337989
ZCCHC14	-2.181181457
IGSF10	-2.178141252
ADCY3	-2.173601511
SACS	-2.169595807
PAQR3	-2.168760129
PKN3	-2.16734184
LENG8	-2.162112704
PRRC2B	-2.161205214
AGRN	-2.160323002
ZNF45	-2.156590363
LPCAT4	-2.152453865
CDC42EP1	-2.150530204
RGS12	-2.147643554
SNRPN	-2.146564895
PKP4	-2.141861969
SIX2	-2.140809615
NPR1	-2.137503524
CARD10	-2.136225483
GIGYF1	-2.131889513
NLRC5	-2.119147265
COL16A1	-2.119052672
PIK3C2B	-2.11855661
SFI1	-2.118394701
CDK16	-2.117759868
SLC35A2	-2.114367025
SIPA1L1	-2.114265174
ST3GAL4	-2.102989501
FBN1	-2.102885074
KAT6A	-2.100680215
CTAGE5	-2.098302074
MLH3	-2.097684878
NCOA1	-2.089714121
DOCK11	-2.086156644
COL7A1	-2.085763523
SZT2	-2.085532814
NES	-2.084482065
PCNX	-2.080632768
ZDHHC3	-2.076805068
UTP23	-2.07617168
E2F1	-2.075462032
BIVM	-2.0749337
PTPN9	-2.073203921
YOD1	-2.069864807
SPOCD1	-2.067332769
POLQ	-2.066320707
PITX1	-2.06608919
HPS1	-2.066034676
NAV2	-2.064803847
ZBTB44	-2.064130337
VEGFB	-2.062904177
SECISBP2	-2.061456203
ABCC10	-2.056143078
FAM161A	-2.055071382
FAT4	-2.053349425
MAP3K11	-2.053043701
TMEM63B	-2.051377359
TFDP1	-2.039784866
HS6ST3	-2.038441076
NT5DC2	-2.036451618
OCIAD2	-2.027326939
CHKB	-2.026591221
WWC1	-2.024662054
FBRS	-2.023846742
DOT1L	-2.023704261
DSE	-2.02056707
DOCK10	-2.017844802
ATP11B	-2.016768213
IQGAP1	-2.016375367
FOXM1	-2.012767296
KAT2B	-2.00965017
LRRC49	-2.006919414
VPS36	-2.006440614
PRR14	-2.005876566
RPL13	-2.000808097
ADCY7	-1.998722713
PRMT2	-1.99423086
AKT2	-1.98548422
PDE4A	-1.981479912
CACTIN	-1.977892687
THRA	-1.968854898
MROH1	-1.967355237
EPC1	-1.965595066
ZCCHC8	-1.96133838
TRIM37	-1.95310087
GOLGB1	-1.952538646
CORO2A	-1.951574878
CLIP2	-1.944374401
PLK4	-1.943588895
NCKAP5L	-1.94257172
MAP4K2	-1.942373182
CEP104	-1.941019273
ST5	-1.940751527
UBE2J1	-1.937148417
SLC41A1	-1.934844657
NETO2	-1.934787086
OSBPL7	-1.929873914
PRKD2	-1.920373825
SUOX	-1.919465288
CHD9	-1.915988387
LAMA1	-1.915731083
DVL1	-1.912216836
SLC35C2	-1.911779858
AMER1	-1.9091256
FLNC	-1.907369022
FMNL1	-1.901860408
PNPLA6	-1.899633041
ZNF219	-1.894817763
CYTH3	-1.890852386
MON1A	-1.886312582
C12orf52	-1.879857637
FAM81A	-1.879758565
FAM168B	-1.879181612
AZI1	-1.878908183
GNPTAB	-1.874002302
KIAA0947	-1.872515875
SMAD6	-1.871605534
UCP2	-1.870641167
TRIM3	-1.869473631
MYO9A	-1.86902241
DBN1	-1.867044011
KLHL36	-1.865423978
YDJC	-1.859169027
SLC38A10	-1.853205198
SSTR1	-1.851444925
MGAT4B	-1.851156364
AHDC1	-1.850990051
CEP170B	-1.843274496
ARRDC2	-1.837525303
DENND6A	-1.837416974
IBTK	-1.837169221
HKR1	-1.836501268
TMEM219	-1.836253573
SENP2	-1.836054428
TPMT	-1.83599497
DGKE	-1.833156415
BRD1	-1.830600666
ZDHHC16	-1.830461936
SLC35C1	-1.829568345
WDR45B	-1.827979293
WDR37	-1.821710215
PGBD1	-1.820676301
RNF141	-1.819750469
WNT7B	-1.819665489
REV1	-1.814644958
TAF1C	-1.811526573
PIK3R2	-1.801494271
FAM208B	-1.796354848
C5orf42	-1.795641501
FLRT2	-1.792945863
BAP1	-1.790657348
NFKBIZ	-1.789260102
PTPN13	-1.786861004
MEST	-1.785712628
ATG4D	-1.783921353
BRD7	-1.783543961
TPCN1	-1.783306457
SMG5	-1.782901878
MARK4	-1.780218792
DGKZ	-1.77940086
MEF2A	-1.776923026
DMWD	-1.776805859
KAT6B	-1.775905283
ZNF692	-1.7751561
CHPF2	-1.774590115
PTP4A1	-1.772703108
ASPHD1	-1.769717265
DENND3	-1.766849874
RNF103	-1.76653871
STK40	-1.765534746
SSH1	-1.76473012
VHL	-1.762282685
GRAMD1B	-1.758848712
PCGF2	-1.756798157
ATXN7	-1.756165241
SMG1	-1.756004368
MBD6	-1.753233983
MAP3K3	-1.752987612
MLXIP	-1.751830944
ZRANB1	-1.75015952
UQCRH	-1.749775099
NME4	-1.749016367
KTN1	-1.746536501
IGSF3	-1.745617464
ZNF473	-1.742941745
CABLES1	-1.742063462
PREX1	-1.741354934
B4GALT2	-1.731515517
IRS2	-1.724765141
C11orf57	-1.723482365
ZNF707	-1.723178642
NR1H3	-1.721122524
POMT2	-1.719774707
LIMK1	-1.714186547
KIAA1549	-1.710318754
BRPF3	-1.708883052
NUAK1	-1.704544116
MFSD8	-1.696165063
ZBED4	-1.695786693
ZBTB5	-1.695578335
MANEAL	-1.695565478
DENND5A	-1.688220034
LRP1	-1.687060688
HELQ	-1.686602763
UBP1	-1.683795358
ZFAT	-1.677259348
BCL3	-1.677023054
SGPP1	-1.676036596
DGCR2	-1.674381057
PCGF3	-1.669115142
SLC25A19	-1.664917805
SETD2	-1.662965013
ZDHHC7	-1.662182003
TRERF1	-1.660952184
LMBR1	-1.660935747
EGLN2	-1.655018648
ZNF496	-1.650093156
ADAT1	-1.649173254
SMC5	-1.648955726
NPRL2	-1.641846398
MYCBP2	-1.641480824
HIPK2	-1.640354501
KIAA0930	-1.640186015
TBC1D16	-1.638867714
CHSY1	-1.63518797
ATP11A	-1.630797828
PRICKLE3	-1.627666952
CRMP1	-1.62702656
ZDBF2	-1.626499351
REPIN1	-1.625117606
KIAA0226	-1.617328026
CLPTM1L	-1.615630677
SGSM3	-1.615310592
TRMT61A	-1.614841868
KMT2D	-1.613182374
SLCO1B3	-1.612013825
PIGW	-1.610982386
FAM83H	-1.609779277
PPP6R2	-1.609624555
LAMB2	-1.609069117
MPRIP	-1.608393251
TANC2	-1.605652359
PITPNM3	-1.605344001
VPS13A	-1.604901348
CSK	-1.604655293
RUSC1	-1.604546897
PEX2	-1.603271059
ATXN1L	-1.602210982
FURIN	-1.602176069
ZNF317	-1.601923108
DYRK1A	-1.601685181
ADRBK1	-1.599666694
PFDN4	-1.599097742
MED25	-1.595379117
ANKIB1	-1.592410607
DBF4	-1.591239646
WDR60	-1.590744853
KIAA1432	-1.586987336
CPNE7	-1.586776071
BTBD7	-1.586464526
ADCY9	-1.585781516
CUL9	-1.584962501
MKKS	-1.583504497
LRRC45	-1.58260708
GDF11	-1.581876521
FAT1	-1.58128468
ACPL2	-1.579037667
HOXA11	-1.578637655
ZDHHC5	-1.578161333
ANO6	-1.574748688
AREL1	-1.574012201
ITPR3	-1.572432106
SSFA2	-1.568705561
REXO1	-1.567527907
CASD1	-1.566128094
RLF	-1.564352221
SLC15A4	-1.564157164
ST7	-1.564156039
ZBTB24	-1.557144557
MYO18A	-1.556466954
NR2F1	-1.556176567
MYNN	-1.555865144
NDST1	-1.554923674
CTDSPL	-1.55174791
ZNF263	-1.548635494
NBEAL2	-1.546634382
ABCB8	-1.546583568
CBLL1	-1.544724011
MFSD10	-1.54459963
HDAC5	-1.541813265
SHC1	-1.538432709
TBC1D8	-1.535275377
ATN1	-1.535209466
ATP10D	-1.533873729
SMG6	-1.533628672
KIAA0232	-1.53098488
KIAA1804	-1.530081149
SURF1	-1.528986708
NAB1	-1.522996747
ITGA11	-1.522121627
HEBP2	-1.519859822
WRN	-1.517275693
ASIC1	-1.515369143
SH3TC1	-1.515301623
SETD1B	-1.511530581
TLK1	-1.510930787
ATP13A3	-1.509690229
RBCK1	-1.507907074
STAC	-1.507177573
DENND4A	-1.506959989
RBL1	-1.505957224
KIDINS220	-1.504792152
ATG2B	-1.504597935
LPHN2	-1.502500341
MYBL2	-1.500812188
PIK3R4	-1.4969964
ARHGAP11A	-1.496477559
KIF13A	-1.496218289
XXYLT1	-1.495268112
ZNF236	-1.495101888
RABGGTA	-1.495069497
OXLD1	-1.494469413
MTFR1	-1.486912355
SLX4	-1.486472637
SHROOM1	-1.485650345
DMXL2	-1.485426827
CEP350	-1.485036435
FBXO34	-1.48393258
C17orf75	-1.481180386
MYO9B	-1.479646581
NEK4	-1.47720632
FLNA	-1.473766816
FAM160A2	-1.473252113
COL4A2	-1.473242806
SOS1	-1.472839006
HMGN1	-1.471076875
KIAA1671	-1.470839291
MTERFD3	-1.4675595
KIF3C	-1.467468938
UGGT2	-1.463033382
ATP13A2	-1.462219436
RPL6	-1.462097986
SLAIN2	-1.460875678
AUP1	-1.460087538
ZFP64	-1.454082699
PTPRF	-1.453832749
POMGNT1	-1.452098322
KIFC2	-1.446988967
PIGB	-1.446928086
MYO5A	-1.437304878
ROR2	-1.436337295
PITPNM1	-1.435051786
LPIN1	-1.433329139
HECTD4	-1.430412725
OFD1	-1.4223055
LAMB3	-1.421587334
ZNF195	-1.421373456
FAM136A	-1.421073595
PLEKHM2	-1.421071145
PIP4K2A	-1.420728611
CYCS	-1.420687221
CPS1	-1.418915135
PPL	-1.418530105
TSHZ2	-1.418039987
MYO19	-1.415785591
DAB2IP	-1.410992287
MPHOSPH9	-1.410607347
PTPRS	-1.406584468
CLCN2	-1.40280721
NDUFA11	-1.402567978
UBN1	-1.402553207
MIEF1	-1.401687946
ERCC5	-1.401350206
DYRK2	-1.399630452
EP400	-1.399284836
CDAN1	-1.396517411
PPARG	-1.394782792
SLC20A2	-1.389600285
SMCR8	-1.386609091
INPP5F	-1.383914982
ATG9A	-1.381722733
KIAA0430	-1.38048758
C11orf82	-1.378695652
TICRR	-1.377659889
IFT80	-1.37593768
TRAF7	-1.373983916
ALMS1	-1.373974843
VPS54	-1.373814837
WWC2	-1.371673798
AFAP1	-1.371075744
EXTL3	-1.36923381
PLXNA1	-1.368083504
SLC4A2	-1.364340258
GRK6	-1.357404356
BCL9L	-1.356807271
ZBTB48	-1.356370726
BTAF1	-1.353707511
WSB2	-1.353573433
PKMYT1	-1.351779965
RREB1	-1.351222402
CHD2	-1.349979401
KEAP1	-1.349793929
TTLL5	-1.349584438
ZC3H12A	-1.349235441
NIPBL	-1.348181335
TBC1D17	-1.347362125
MEF2D	-1.346528721
CRAMP1L	-1.346211131
RFX5	-1.34204228
JADE1	-1.341766842
MRGBP	-1.340682055
COMTD1	-1.340543773
LEPR	-1.340183505
DNAJC13	-1.338100221
E4F1	-1.337733798
CCNI	-1.337684346
ARHGEF12	-1.336815422
GTF2E1	-1.335348611
GPR125	-1.33493896
SLC2A8	-1.333566405
RHOBTB2	-1.332270039
IP6K1	-1.327734582
POLE	-1.327178356
HIRA	-1.326443576
ERRFI1	-1.326228232
USP36	-1.32312984
ACTR1B	-1.322869699
DCLRE1B	-1.321928095
SETD6	-1.320621897
NRBP2	-1.320321232
C11orf30	-1.316599575
INVS	-1.315929354
TAF4B	-1.31555857
KIF24	-1.313754163
CIT	-1.313660479
CENPF	-1.313241077
PRR12	-1.310075673
DDX60L	-1.308285487
DUS1L	-1.30794557
KIAA0195	-1.306661338
COL5A1	-1.301518687
TRIM41	-1.301437569
GYLTL1B	-1.299913379
CCP110	-1.299779475
USPL1	-1.29774214
MTSS1L	-1.297229326
CDC42BPA	-1.296811418
IFNAR2	-1.295966301
DHX30	-1.294310118
POLI	-1.293731203
TNK2	-1.290986153
RAB3IL1	-1.290465378
ETV4	-1.28920015
NEURL1	-1.289072267
PDE3B	-1.288230235
SYBU	-1.288025085
MECP2	-1.28763177
LOXL1	-1.286502253
CHD3	-1.285941992
TRIOBP	-1.285621091
TSEN54	-1.285068917
FANCB	-1.284943186
INPPL1	-1.284762599
RNF19A	-1.284424736
RERE	-1.283632277
ZFYVE20	-1.282553857
FRMD6	-1.280107919
OSTM1	-1.279138822
SPG7	-1.279036001
INTS1	-1.27877456
HDAC8	-1.278678147
PACS2	-1.274567886
RB1CC1	-1.273237151
ABCC5	-1.271223804
DCAF6	-1.270875429
UNC13B	-1.269325395
BICD2	-1.269275346
ZZEF1	-1.268665011
PDE4B	-1.265372648
C1RL	-1.260866569
ZNF394	-1.26052755
GPR176	-1.258435171
C7orf26	-1.257471583
ZFYVE16	-1.256636635
DEAF1	-1.25663003
SEL1L3	-1.25627128
LTBP2	-1.254813899
CLCN7	-1.254159467
SREBF1	-1.252461918
COL6A1	-1.252433184
SOGA1	-1.251023427
MRE11A	-1.249567872
TNKS2	-1.24898173
MAPKBP1	-1.248346963
ZNF84	-1.247521406
GAK	-1.245427109
RTEL1	-1.243755343
FBXO9	-1.242875532
RAD54L	-1.242856524
ARMC5	-1.239071162
PDCD11	-1.238052766
SNRNP25	-1.237724444
ARHGEF28	-1.235464004
VTI1B	-1.234899408
ZFYVE26	-1.232884795
ZMYND8	-1.230981884
RUNX1	-1.228416209
SLITRK5	-1.228298707
TEAD4	-1.227940435
SPTBN2	-1.223502769
ESRRA	-1.223416408
TRIM14	-1.223182614
STXBP5	-1.222392421
EVL	-1.220551075
GEN1	-1.220279201
RPSA	-1.219737681
SPIDR	-1.218988834
ELK3	-1.218000652
TANK	-1.217288241
SPRED1	-1.215346784
WDTC1	-1.214041052
HMHA1	-1.209258068
SLC25A10	-1.208172471
AGTPBP1	-1.207595419
TMEM259	-1.206894034
CABIN1	-1.204802487
DOCK6	-1.204496668
BCL9	-1.203816692
CCDC88A	-1.202178524
JAG2	-1.200139614
MCUR1	-1.198418094
TMEM132A	-1.19837554
ATMIN	-1.196817967
ASH1L	-1.196074065
OGT	-1.19592021
MAPK7	-1.193733658
USP45	-1.192989191
TTLL4	-1.192971738
MICAL3	-1.192645078
ARHGAP29	-1.192319523
GLYCTK	-1.191718392
ZNF106	-1.191048293
SLC36A1	-1.190683562
ITPR1	-1.190670488
GNA12	-1.18966122
ACVR1B	-1.189367917
NLRP1	-1.188577708
DISP1	-1.187169948
DPP7	-1.18459631
VPS13B	-1.183918274
NKRF	-1.1828977
NCKIPSD	-1.177954188
HIVEP1	-1.176124818
PPP3CC	-1.175050034
GTPBP2	-1.174570006
EXT1	-1.172176282
USP34	-1.170602355
DFNB31	-1.169706295
MTHFS	-1.169511444
ZNRF2	-1.168759322
STRN	-1.16477039
LRRK1	-1.164494038
MDN1	-1.163591068
ARAF	-1.163567845
NUMA1	-1.162654908
RXRA	-1.162424412
MAN1A2	-1.160560785
ABHD6	-1.158050901
MEX3A	-1.158021082
TTC7A	-1.158016121
PLEKHG4	-1.157860823
GTF2H5	-1.157716745
MUS81	-1.157663503
SAC3D1	-1.157441076
MAPK12	-1.157380877
STARD3	-1.156887981
LYSMD3	-1.156878553
MIS18BP1	-1.152180754
PHKB	-1.151268444
VPS8	-1.150242636
DPM2	-1.148676219
MAP4K3	-1.146841388
SLC25A37	-1.143685595
RPS13	-1.142711482
FAM134A	-1.141336766
PDE8A	-1.140778656
RBL2	-1.140764286
NOD1	-1.140023516
SHARPIN	-1.139564762
ARAP2	-1.136758138
DCLRE1A	-1.134735573
TSR3	-1.133533711
CHPF	-1.133143279
CSPG4	-1.132755209
EIF4G3	-1.13255131
HERC1	-1.132498506
TNRC6A	-1.131470351
SSNA1	-1.131458637
FGFR1	-1.12770352
ZFP36L2	-1.12739788
RC3H2	-1.12650011
LRRC14	-1.126310226
ANGEL1	-1.122856748
DGKD	-1.121762176
PARP8	-1.121638676
PTPN3	-1.121463512
APC	-1.121353784
AMD1	-1.12094249
RCBTB1	-1.12093371
TAF2	-1.119992699
PPP1R12C	-1.119272787
FOXF1	-1.119226858
PRKD3	-1.118518777
SMPD1	-1.117197971
NGLY1	-1.115477217
NEK1	-1.113742166
SEMA3F	-1.110411633
NPDC1	-1.10923305
PEX10	-1.10651635
TCF20	-1.103958861
ZCCHC7	-1.101729887
DIP2A	-1.099535674
TEAD2	-1.099535674
HSPB8	-1.099217163
DDX59	-1.098647588
FBXL19	-1.098318881
PLEKHG5	-1.098223536
TGFBR3	-1.097998438
ROBO1	-1.09793295
SETD1A	-1.097763572
KLHL5	-1.096203296
TNKS1BP1	-1.095865183
SRD5A1	-1.094299817
ADCK4	-1.093976148
MTUS1	-1.093915012
ABCA3	-1.093109404
C20orf27	-1.09262714
MARK3	-1.092178661
WIPI2	-1.091346961
LYPLA1	-1.08983141
SMURF2	-1.088809267
NOTCH3	-1.088165689
AK2	-1.087233831
BRWD1	-1.086255733
FARP1	-1.083907944
MTDH	-1.083578642
PLEKHG3	-1.083456231
CHD7	-1.08323688
NSD1	-1.081263162
MEX3C	-1.080605011
TCF7L2	-1.07979377
NAA20	-1.07957536
C4orf21	-1.079322453
B4GALT7	-1.077167861
GNPAT	-1.076642824
PLAGL1	-1.076466536
CCSER2	-1.075862015
ZHX1	-1.074447014
CCDC112	-1.074424841
SNX14	-1.073297402
ZNF232	-1.073088477
ANKS6	-1.072314205
DHX34	-1.072291992
PEAK1	-1.071000769
MGAT1	-1.069804175
ARNTL	-1.069678816
RNF123	-1.069652193
PATZ1	-1.068279069
KXD1	-1.066786404
AMIGO2	-1.065338312
B4GALT3	-1.06489405
USP31	-1.064829064
CYBRD1	-1.061809812
EDEM1	-1.057792575
ARID1A	-1.057610723
PAPOLA	-1.057455511
ANKLE2	-1.056544062
RPS2	-1.05588742
ANKRD13C	-1.053373351
CDK5RAP2	-1.051499434
SEC63	-1.051035464
SMC6	-1.050006669
NOTCH1	-1.049875907
OBSL1	-1.049753035
SKI	-1.048935126
NSMAF	-1.048274942
ABHD13	-1.044729856
USP53	-1.04018909
ENTPD6	-1.04009039
RPS20	-1.038460665
VEGFC	-1.038392235
SREBF2	-1.037698287
TEX2	-1.037539717
PLK3	-1.037056181
KIF21A	-1.036430457
FBXW2	-1.03611547
ZNF428	-1.035667404
LTBP3	-1.035250847
ABL1	-1.034964078
SENP6	-1.033086792
STK36	-1.028854863
INPP5E	-1.026883294
CHN1	-1.026878384
LZTS2	-1.024295587
SLFN12	-1.023899415
ARID5B	-1.023363993
ABCC3	-1.022479343
TMEM131	-1.020842533
ORAI1	-1.020037753
WHSC1	-1.019502258
TTC7B	-1.017410684
ITGA3	-1.016125209
KIF26A	-1.013450306
POLD2	-1.013402305
FEM1B	-1.012397026
LRP5	-1.008020134
TBC1D7	-1.00620515
FAM206A	-1.006146402
SGMS2	-1.006074514
SETX	-1.005973901
ABCD4	-1.00573637
ZNF337	-1.005517005
HMGA1	-1.005487237
RHOBTB1	-1.005268521
PLXNB2	-1.005041989
PNPLA3	-1.004800986
ELN	-1.004418671
KIAA0355	-1.003958014
KIAA1324L	-1.003883434
CMAS	-1.001008055
SLCO4A1	-1
TOPBP1	-0.999626777
MICAL2	-0.994993534
TECPR1	-0.99454557
SPECC1L	-0.993315687
B3GALNT2	-0.990863205
CCNE2	-0.988876622
IPO13	-0.987642793
SEC16A	-0.987157935
SPAG9	-0.986834426
LRP4	-0.98647886
RUSC2	-0.985733431
NPAT	-0.985532742
ZNF770	-0.983768729
NADK	-0.981430912
HSF1	-0.979749713
OSBPL5	-0.978205178
DDX11	-0.976103884
RAF1	-0.975499038
CNTROB	-0.975311568
SMARCD3	-0.974688911
SDCCAG3	-0.974576376
ITPK1	-0.972646008
MCM3AP	-0.971945269
ZNF335	-0.971635109
CASK	-0.97145346
AXIN1	-0.970656038
FAM173A	-0.970536177
DIS3L	-0.969790489
ULK1	-0.969404224
RPS6KC1	-0.96788244
TRADD	-0.967578522
HIPK3	-0.966649115
RIN1	-0.965963676
KMT2E	-0.965004579
IQCB1	-0.961525852
SFXN4	-0.961199069
FGFRL1	-0.960896816
SIDT2	-0.959533408
UHMK1	-0.959289882
FSTL3	-0.957702567
ZNF639	-0.954657015
QSER1	-0.954274788
RER1	-0.952855009
TUBE1	-0.952741247
MAP3K12	-0.949814243
PI4KB	-0.948300626
MRPL34	-0.947972972
ORC1	-0.947409173
TRRAP	-0.947160608
SRCAP	-0.945784278
DAK	-0.943956417
RPL24	-0.94376347
FGFR4	-0.942091422
ODF2L	-0.941224328
CCNT1	-0.939972361
MAD2L2	-0.939879008
GCC1	-0.939564146
TRIM35	-0.939514871
GJC1	-0.935596967
UBTF	-0.935540142
SLC43A2	-0.935374283
ELL2	-0.933436399
DMXL1	-0.932885804
AGPAT3	-0.932033021
GPT2	-0.930938321
MED13	-0.929680704
PHTF1	-0.929567164
NPHP4	-0.929116514
TNIP2	-0.927007642
MAP3K6	-0.925870497
MAZ	-0.92493766
CENPE	-0.924616325
ZNF41	-0.922484934
PHLPP2	-0.921245889
STK25	-0.920153039
NCOR1	-0.919682149
